地名,センター,もやすごみ,もやさないごみ,草木,紙・布,かん,びん,ペットボトル
赤田町1〜3丁目,首里1,火 金,月2 月4,月1 月3 月5,水,木,木,木
赤平町1〜2丁目,首里1,火 金,月2 月4,月1 月3 月5,水,木,木,木
石嶺町1〜4丁目,首里1,火 金,月2 月4,月1 月3 月5,水,木,木,木
池端町,首里1,火 金,月2 月4,月1 月3 月5,水,木,木,木
大中町1〜2丁目,首里1,火 金,月2 月4,月1 月3 月5,水,木,木,木
儀保町1丁目,首里1,火 金,月2 月4,月1 月3 月5,水,木,木,木
儀保町2丁目(1〜6番地),首里1,火 金,月2 月4,月1 月3 月5,水,木,木,木
儀保町3丁目,首里1,火 金,月2 月4,月1 月3 月5,水,木,木,木
儀保町4丁目(19〜24、79-7・10・11・14番地),首里1,火 金,月2 月4,月1 月3 月5,水,木,木,木
金城町1〜4丁目,首里1,火 金,月2 月4,月1 月3 月5,水,木,木,木
久場川町1〜2丁目,首里1,火 金,月2 月4,月1 月3 月5,水,木,木,木
崎山町1〜4丁目,首里1,火 金,月2 月4,月1 月3 月5,水,木,木,木
寒川町1〜2丁目(県道241号線より城北小学校側),首里1,火 金,月2 月4,月1 月3 月5,水,木,木,木
平良町2丁目(9〜18番地),首里1,火 金,月2 月4,月1 月3 月5,水,木,木,木
汀良町1〜3丁目,首里1,火 金,月2 月4,月1 月3 月5,水,木,木,木
当蔵町1〜3丁目,首里1,火 金,月2 月4,月1 月3 月5,水,木,木,木
桃原町1丁目(1〜7番地),首里1,火 金,月2 月4,月1 月3 月5,水,木,木,木
桃原町1丁目(10〜25番地),首里1,火 金,月2 月4,月1 月3 月5,水,木,木,木
鳥堀町1〜5丁目,首里1,火 金,月2 月4,月1 月3 月5,水,木,木,木
真和志町1〜2丁目,首里1,火 金,月2 月4,月1 月3 月5,水,木,木,木
山川町1丁目(1〜63番地),首里1,火 金,月2 月4,月1 月3 月5,水,木,木,木
山川町2丁目(1、6、7-1・5・10番地),首里1,火 金,月2 月4,月1 月3 月5,水,木,木,木
山川町3丁目(1、4、7、57、57、61番地),首里1,火 金,月2 月4,月1 月3 月5,水,木,木,木
大名町1〜3丁目,首里2,火 金,月2 月4,月1 月3 月5,木,水,月,水
儀保町2丁目(1〜6番地を除く),首里2,火 金,月2 月4,月1 月3 月5,木,水,月,水
儀保町4丁目(19〜24、79-7・10・11・14番地を除く),首里2,火 金,月2 月4,月1 月3 月5,木,水,月,水
末吉町1〜4丁目,首里2,火 金,月2 月4,月1 月3 月5,木,水,月,水
平良町1丁目(県道241号線より大名側),首里2,火 金,月2 月4,月1 月3 月5,木,水,月,水
平良町2丁目(9〜18番地を除く),首里2,火 金,月2 月4,月1 月3 月5,木,水,月,水
桃原町1丁目(8〜9番地),首里2,火 金,月2 月4,月1 月3 月5,木,水,月,水
桃原町1丁目(26番地以上),首里2,火 金,月2 月4,月1 月3 月5,木,水,月,水
桃原町2丁目,首里2,火 金,月2 月4,月1 月3 月5,木,水,月,水
山川町1丁目(64番地以上),首里2,火 金,月2 月4,月1 月3 月5,木,水,月,水
山川町2丁目(1、6、7-1・5・10番地を除く),首里2,火 金,月2 月4,月1 月3 月5,木,水,月,水
山川町3丁目(1、4、7、56、57、61番地を除く),首里2,火 金,月2 月4,月1 月3 月5,木,水,月,水
字安里388〜410番地(安里交番の南側と安里橋通り北側の間),真和志3,火 金,月2 月4,月1 月3 月5,水,木,木,木
字大道 県道29号線(大道通り)より南側(128〜129、172〜172-8、172-10〜173番地を除く),真和志3,火 金,月2 月4,月1 月3 月5,水,木,木,木
字松川(295〜542、600、601、602、700〜800番地を除く),真和志3,火 金,月2 月4,月1 月3 月5,水,木,木,木
松川1〜3丁目,真和志3,火 金,月2 月4,月1 月3 月5,水,木,木,木
三原1〜2丁目,真和志3,火 金,月2 月4,月1 月3 月5,水,木,木,木
字上間,真和志4,月 木,火2 火4,火1 火3 火5,水,金,金,金
上間1丁目,真和志4,月 木,火2 火4,火1 火3 火5,水,金,金,金
字国場(与儀国場北線より寄宮側を除く),真和志4,月 木,火2 火4,火1 火3 火5,水,金,金,金
古波蔵1〜4丁目(旧字古波蔵を含む),真和志4,月 木,火2 火4,火1 火3 火5,水,金,金,金
字識名,真和志4,月 木,火2 火4,火1 火3 火5,水,金,金,金
識名1〜4丁目,真和志4,月 木,火2 火4,火1 火3 火5,水,金,金,金
字仲井真,真和志4,月 木,火2 火4,火1 火3 火5,水,金,金,金
長田1〜2丁目,真和志4,月 木,火2 火4,火1 火3 火5,水,金,金,金
繁多川1〜5丁目,真和志4,月 木,火2 火4,火1 火3 火5,水,金,金,金
字真地,真和志4,月 木,火2 火4,火1 火3 火5,水,金,金,金
三原3丁目,真和志4,月 木,火2 火4,火1 火3 火5,水,金,金,金
字与儀(372番地以上),真和志4,月 木,火2 火4,火1 火3 火5,水,金,金,金
与儀2丁目,真和志4,月 木,火2 火4,火1 火3 火5,水,金,金,金
